model,auroc_macro,auprc_macro,auroc_MI,auroc_STTC,auroc_HYP,auroc_CD,auroc_NORM,auprc_MI,auprc_STTC,auprc_HYP,auprc_CD,auprc_NORM
ecg,0.9080250805890697,0.7681165249804763,0.9199856575463372,0.9319608065311765,0.829103842028894,0.9178220120541298,0.9412530847848114,0.8089121894774489,0.8065891166158177,0.48352083254753936,0.8295288921547015,0.9120315941068741
mm,0.9052763241226085,0.7650397769034507,0.9197517652250662,0.9276069940266699,0.8311778436691691,0.909001743679163,0.938843274012974,0.8076066150039528,0.8015058575796822,0.48740261687951475,0.8173606882417729,0.9113231068123306
